Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
,"BYO Foil 6""",,4.99,Fixed,,1,,,848146017014,,,,,
,Elite Foil,,4.99,Fixed,,1,,,813276025246,,,,,
,BYO Charcoal Burner 1,,25.99,Fixed,,1,,,848146015935,,,,,
,BYO Charcoal Burner,,34.99,Fixed,,1,,,848146017724,,,,,
,Coco Nara 120pc,,20.99,Fixed,,1,,,5287000553124,,,,,
,Coco Nara 20pc,,5.99,Fixed,,1,,,5287000553100,,,,,
,Coco Blaze 72pc,,24.99,Fixed,,1,,,860002088952,,,,,
,Titanium 72pc,,24.99,Fixed,,1,,,881314515998,,,,,
,Coco Nara 60pc,,14.99,Fixed,,1,,,5287000553117,,,,,
,Nu 48pc,,14.99,Fixed,,1,,,819291018133,,,,,
,Coco Cube 1kg,,14.99,Fixed,,1,,,6216576073773,,,,,
,Nu 96pc,,24.99,Fixed,,1,,,819291018126,,,,,
,Starbuzz Charcoal 10tablets,,2.99,Fixed,,1,,,847244018459,,,,,
,Hemp Wood OG,,1.99,Fixed,,1,,,59987796,,,,,
,Hemp Wood Russian Cream,,1.99,Fixed,,1,,,50387793,,,,,
,Camo Blueberry,,1.59,Fixed,,1,,,19999371,,,,,
,Camo Vanilla,,1.59,Fixed,,1,,,19829371,,,,,
,Camo Choco,,1.59,Fixed,,1,,,19869377,,,,,
,Camo Watermelon,,1.59,Fixed,,1,,,19889399,,,,,
,Camo Mango,,1.59,Fixed,,1,,,11319375,,,,,
,Camo Grape,,1.59,Fixed,,1,,,19889375,,,,,
,Camo Peach,,1.59,Fixed,,1,,,850030268389,,,,,
,Camo Guava,,1.59,Fixed,,1,,,850030268419,,,,,
,Camo Russian Cream,,1.59,Fixed,,1,,,850030268426,,,,,
,Camo Green Apple,,1.59,Fixed,,1,,,850030268396,,,,,
,Camo Honey,,1.59,Fixed,,1,,,850030268402,,,,,
,Box Cool Mint,,20.99,Fixed,,1,,,840189903392,,,,,
,Box Energy Drinks,,20.99,Fixed,,1,,,840189903262,,,,,
,Box Cool Lemon,,20.99,Fixed,,1,,,840189903422,,,,,
,Box Watermelon Ice,,20.99,Fixed,,1,,,840189903439,,,,,
,Diamond Banana Ice,,9.99,Fixed,,1,,,193835003299,,,,,
,Diamond Peach Mango,,9.99,Fixed,,1,,,840189904658,,,,,
